"key","contexto","uso","es","en"
"t_94d559d5930c","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","¿Nube? ¿Qué ha pasado?","Nube? What happened?"
"t_02a791c6bfe4","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","Lo llevaba conmigo esta mañana y creo que lo dejé en algún sitio mientras ayudaba a ordenar las mesas.","I had him with me this morning and I think I left him somewhere while I was helping tidy the tables."
"t_2cfac38cca9e","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","No me di cuenta hasta ahora. Es tonto, pero no puedo estar tranquila sin él.","I didn't notice until now. It's silly, but I can't be calm without him."
"t_e22b83ef11a9","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","No es tonto. Vamos a buscarlo, ¿vale? Dime dónde crees que pudo haber estado.","It's not silly. Let's go find him, okay? Tell me where you think he could have been."
"t_1f769b94c41e","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","Gracias, me han dicho que lo vieron irse por la izquierda en la zona de las casas. Debe estar en algún sitio.","Thank you, they told me he was seen heading off to the left in the houses area. He must be somewhere."
"t_d18bc2be021e","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","Si lo encuentras me harías muy feliz y al bebé más.","If you find him you'd make me so happy, and the baby even happier."
"t_ca81e25a8499","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithDespuesDeConejo","Dialogo","Amara, mira, lo encontré. Estaba escondido detrás de unas cajas en un granero.","Amara, look, I found him. He was hiding behind some boxes in a barn."
"t_a960eae81322","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithDespuesDeConejo","Dialogo","¡Nube! Ay qué alivio. Gracias, Lilith. En serio, no sé qué habría hecho si…","Nube! Oh, what a relief. Thank you, Lilith. Really, I don't know what I would have done if…"
"t_0f7ad122b7ef","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithDespuesDeConejo","Dialogo","De verdad, significas más para mí de lo que crees. Gracias por ayudarme.","Truly, you mean more to me than you think. Thank you for helping me."
"t_da92b9bd6324","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithDespuesDeConejo","Dialogo","Muchas gracias Amara.","Thank you so much Amara."
"t_1b66d03aa323","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraSeVaDIalogo","Dialogo","Adiós y gracias de nuevo Lilith!","Bye and thanks again Lilith!"
"t_50e399ed26c1","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraSeVaDIalogo","Dialogo","Otra vez las campanas, debería ir al comedor.","The bells again, I should go to the dining hall."
"t_8c49a25a9f9b","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/CairenLIlithCasas","Dialogo","Hay ojos puestos en ti. Asegúrate de estar siempre preparada.","There are eyes on you. Make sure you're always ready."
"t_ddfb86e5398e","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/CairenLIlithCasas (+11)","Nombre de hablante","Cairen","Cairen"
"t_f919f5ad2d31","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/JesalLIlithCasas","Dialogo","Lilith, últimamente te veo más alineada. La Voz siempre recompensa a quienes escuchan.","Lilith, lately you seem more aligned. The Voice always rewards those who listen."
"t_99e2606a81ce","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/JesalLIlithCasas (+4)","Nombre de hablante","Jesal","Jesal"
"t_5b51a9fa31b8","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/LinLIlithCasas (+6)","Nombre de hablante","Lin","Lin"
"t_4d79a7938ba4","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/LinLIlithCasas","Dialogo","¿También tienes tareas hoy? Yo intentaré terminar las mías rápido… no quiero meterme en problemas","Do you have chores today too? I'll try to finish mine fast… I don't want to get in trouble"
"t_dc05daac1222","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/MisionZanahorias","Objetivo de mision","SIGUE EL RASTRO DE ZANAHORIAS PARA ENCONTRAR A NUBE","FOLLOW THE TRAIL OF CARROTS TO FIND NUBE"
"t_0de9709147d7","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/TodaviaNOCasas1","Dialogo","Esta zona no está disponible aún.","This area isn't available yet."
"t_0de9709147d7_ea53","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/TodaviaNOCasas2","Dialogo","Esta zona no está disponible aún.","This area isn't available yet."
"t_58061aa54439","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo (+20)","Nombre de hablante","Alpha","Alpha"
"t_d4b8e8b42a32","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","¿Alpha…? ¿Qué estás haciendo aquí?","Alpha…? What are you doing here?"
"t_4df4f00d95c0","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Te estaba esperando, Lilith. La familia nunca duerme del todo y tú eres alguien a quien conviene cuidar muy de cerca.","I was waiting for you, Lilith. The Family never sleeps completely, and you are someone worth looking after very closely."
"t_cd3c9ab0615a","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Tu árbol está creciendo de forma maravillosa. Eres especial. Pero toda semilla necesita abono para florecer.","Your tree is growing beautifully. You are special. But every seed needs fertilizer to bloom."
"t_d5dfd7dca99f","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","¿Abono? ¿Quieres decir que debo hacer algo?","Fertilizer? You mean I have to do something?"
"t_32c3df315253","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Hay una plaga de bichos en el huerto de Jesal.","There's an infestation of pests in Jesal's garden."
"t_0b94943f8a90","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Está corrompiendo lo que con tanto cariño cultivamos.","It's corrupting what we cultivate with so much care."
"t_79149c344856","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Opcion de dialogo","Si es una amenaza para la familia… haré lo que haga falta.","If it's a threat to the Family… I'll do whatever it takes."
"t_317460591728","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Opcion de dialogo","¿Una plaga? ¿Estas seguro de que eso va a afectar?","A plague? Are you sure that's going to affect anything?"
"t_1065c8fc195c","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Tu lealtad es un bálsamo para este lugar, Lilith. Entiendes lo que muchos tardan años en comprender.","Your loyalty is a balm to this place, Lilith. You understand what takes many years to grasp."
"t_db30c19c780d","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Esto purificará la tierra, viértelo en las plantas. Sé que no es agradable. Pero lo necesario rara vez lo es.","This will purify the soil, pour it on the plants. I know it isn't pleasant. But what's necessary rarely is."
"t_12f643436df7","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Alpha… no estoy segura de esto.","Alpha… I'm not sure about this."
"t_484b5aff3d21","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Lilith mírame. Cuando llegaste, estabas rota. Perdida. Sin rumbo. Esta familia te está dando un propósito. Un sitio donde eres vista donde eres necesaria.","Lilith, look at me. When you came, you were broken. Lost. Adrift. This Family is giving you a purpose. A place where you are seen, where you are needed."
"t_c61e22aba3af","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Si tú no lo haces… ¿Quién protegerá a los nuestros? Esto no es crueldad. Esto es amor. Amor hacia todos los que dependen de nosotros.","If you don't do it… Who will protect our own? This isn't cruelty. This is love. Love for everyone who depends on us."
"t_eb9827a08be1","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Confío en ti, Lilith. No me decepciones. Hazlo por la familia.","I trust you, Lilith. Don't disappoint me. Do it for the Family."
"t_a8fb62b52458","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Has obtenido ""Vial de Alpha""","You have obtained ""Alpha's Vial"""
"t_007b5102d987","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Avísame cuando termines. Estaré aquí… esperándote en tu cuarto.","Let me know when you're done. I'll be here… waiting for you in your room."
"t_910531cf77cf","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Estoy seguro de que sí, y si llega a expandirse pondría en peligro a todos. Esta misión es importante, Lilith… para la familia. No me falles ahora.","I'm certain it will, and if it spreads it would put everyone in danger. This mission is important, Lilith… for the Family. Don't fail me now."
"t_db30c19c780d_a273","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Esto purificará la tierra, viértelo en las plantas. Sé que no es agradable. Pero lo necesario rara vez lo es.","This will purify the soil, pour it on the plants. I know it isn't pleasant. But what's necessary rarely is."
"t_12f643436df7_d597","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Alpha… no estoy segura de esto.","Alpha… I'm not sure about this."
"t_484b5aff3d21_db20","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Lilith mírame. Cuando llegaste, estabas rota. Perdida. Sin rumbo. Esta familia te está dando un propósito. Un sitio donde eres vista donde eres necesaria.","Lilith, look at me. When you came, you were broken. Lost. Adrift. This Family is giving you a purpose. A place where you are seen, where you are needed."
"t_c61e22aba3af_1e29","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Si tú no lo haces… ¿Quién protegerá a los nuestros? Esto no es crueldad. Esto es amor. Amor hacia todos los que dependen de nosotros.","If you don't do it… Who will protect our own? This isn't cruelty. This is love. Love for everyone who depends on us."
"t_eb9827a08be1_f910","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Confío en ti, Lilith. No me decepciones. Hazlo por la familia.","I trust you, Lilith. Don't disappoint me. Do it for the Family."
"t_a8fb62b52458_9f65","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Has obtenido ""Vial de Alpha""","You have obtained ""Alpha's Vial"""
"t_007b5102d987_5477","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo","Dialogo","Avísame cuando termines. Estaré aquí… esperándote en tu cuarto.","Let me know when you're done. I'll be here… waiting for you in your room."
"t_8869de1ad95e","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Lilith... Tu presencia habla por ti. Ya no hace falta que digas nada. Lo has cumplido.","Lilith... Your presence speaks for you. There's no need to say anything now. You saw it through."
"t_512cb537c207","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","El huerto respira otra vez. La esencia vuelve a fluir. Has hecho lo que debía hacerse.","The garden breathes again. The essence flows once more. You did what had to be done."
"t_8a8cdae9c3bd","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Un acto pequeño pero de enorme consecuencia para todos. Sé que no ha sido fácil. Sé que tu corazón aún tiembla","A small act, but of enormous consequence for us all. I know it wasn't easy. I know your heart still trembles"
"t_21726a352bae","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Pero escucha: la duda no es un pecado. La desobediencia sí. Y tú elegiste a la familia. Eso es lo que importa.","But listen: doubt is not a sin. Disobedience is. And you chose the Family. That is what matters."
"t_1df050048a6d","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Yo… no estoy segura de que…de que haya sido lo correcto.","I… I'm not sure that…that it was the right thing."
"t_0b7603082642","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Lo correcto, Lilith… nunca se siente bien al principio. El deber raras veces es placentero.","The right thing, Lilith… never feels good at first. Duty is rarely pleasant."
"t_4348480ea6b5","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Pero te lo prometo: cuando veas cómo prospera este lugar, cuando veas cómo florece todo gracias a tus manos entenderás todo.","But I promise you: when you see this place prosper, when you see everything bloom thanks to your hands, you will understand it all."
"t_9b4693392bf3","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Tu árbol crecerá fuerte. Más fuerte que todos los demás","Your tree will grow strong. Stronger than all the rest"
"t_5891e5211f58","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Has dado un paso hacia la verdadera pureza. Ahora… la familia te espera.","You have taken a step toward true purity. Now… the Family is waiting for you."
"t_cda214599dc3","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Reúnete con los demás en el comedor.","Join the others in the dining hall."
"t_e1d0837ea4e7","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AlphaCasaDialogo2","Dialogo","Sí… Alpha.","Yes… Alpha."
"t_33997301f1e8","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","…No entiendo. No era… no era solo un conejo, Lilith. Cuando Nube saltaba… el bebé se movía. Siempre. Era como si ya se conocieran.","…I don't understand. It wasn't… it wasn't just a rabbit, Lilith. When Nube hopped… the baby moved. Always. It was like they already knew each other."
"t_da3f4d8f7f1c","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Jesal dice que estas cosas pasan. Que el huerto… que la tierra… que la familia… Pero yo lo dejé ir. Yo no estaba ahí.","Jesal says these things happen. That the garden… that the earth… that the Family… But I let him out. I wasn't there."
"t_0149b4e61df0","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","No fue culpa tuya. Aquí… las cosas suceden porque tienen que suceder.","It wasn't your fault. Here… things happen because they have to happen."
"t_eda919cd7d15","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","¿De verdad lo crees…? Porque yo no puedo dejar de pensar que… si hubiera estado allí…","Do you really believe that…? Because I can't stop thinking that… if I had been there…"
"t_1eb43cf3ef61","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Pensar así solo hace daño. Alpha dice que la familia nos cuida incluso cuando no lo entendemos.","Thinking like that only hurts. Alpha says the Family takes care of us even when we don't understand it."
"t_3224c105cc17","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Yo solo quería… algo pequeño. Algo vivo que no tuviera miedo de este sitio. Ahora siento que… que todo lo que toco…","I just wanted… something small. Something alive that wasn't afraid of this place. Now I feel like… like everything I touch…"
"t_cca084f7f96f","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Solo estás cansada.","You're just tired."
"t_dddf77688c84","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Ojalá pudiera dejar de sentir esto. Ojalá pudiera… no pensar.","I wish I could stop feeling this. I wish I could… not think."
"t_2643dbd5c639","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","A veces no pensar es un alivio.","Sometimes not thinking is a relief."
"t_c58782467f09","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Alpha dice que quizá… deberíamos alejarnos un poco. Tú, Nira y yo. Dice que el bosque… ayuda a ordenar la mente.","Alpha says that maybe… we should get away for a while. You, Nira and me. He says the forest… helps put your mind in order."
"t_2023a464bebf","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Si él lo dice… será lo mejor.","If he says so… it's for the best."
"t_aba663fac3a9","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/AmaraEncontradaDialogo","Dialogo","Gracias por ayudarme Lilith.","Thank you for helping me, Lilith."
"t_01dc3e85861d","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LilithDescansar","Dialogo","Me apetece descansar un poco, debería volver a mi cabaña.","I feel like resting a bit, I should head back to my cabin."
"t_f34149d5a366","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","Gracias… gracias por traer todo. La tela, la piedra… todo.","Thanks… thanks for bringing it all. The cloth, the stone… all of it."
"t_fd78bc4a0a74","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","No ha sido nada, Lin. Lo que sea para que el bebe esté bien… y por Amara.","It was nothing, Lin. Whatever it takes for the baby to be okay… and for Amara."
"t_9f6ac8ce20d3","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","Sí… sí, eso es… Yo… quiero que esta manta sea especial.","Yes… yes, that's it… I… I want this blanket to be special."
"t_0767f14b47e1","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","Para que Amara vea que pienso en mi hijo… y para que esté protegido… con la Safira.","So Amara sees that I think about my son… and so he'll be protected… with the Safira."
"t_9ddf09ec96c4","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","Seguro que Amara lo va a valorar mucho. Es un regalo precioso.","I'm sure Amara will treasure it. It's a beautiful gift."
"t_2430cfe312bb","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","¿Tú… crees? A veces siento que… que hago todo mal. Pero… esto… esto quiero que sea bueno.","You… think so? Sometimes I feel like… like I do everything wrong. But… this… I want this to be good."
"t_3209bb810176","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","Has hecho todo lo posible, Lin. Y con cuidado, eso es lo que cuenta.","You've done everything you could, Lin. And with care, that's what counts."
"t_4f0719156a47","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","Sí… sí… gracias, Lilith. De verdad. No sé… no sé cómo habría hecho esto sin ti.","Yes… yes… thank you, Lilith. Really. I don't know… I don't know how I'd have done this alone."
"t_ba031f8336a4","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinDespuesDeMateriales","Dialogo","Amara… estará feliz. Y yo… me siento un poco menos inútil.","Amara… will be happy. And I… I feel a little less useless."
"t_32ccf23dacad","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Ah, Lilith justo a tiempo. Estoy preparando algo para mi hijo, para regalárselo cuando nazca.","Ah, Lilith, just in time. I'm making something for my son, to give him when he's born."
"t_e260a51898e8","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Seguro que a Amara le gusta este detalle","I'm sure Amara will love the gesture"
"t_4f1a641e1964","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Quiero algo que simbolice nuestro cuidado y protección.","I want something that symbolizes our care and protection."
"t_83dda87c4efe","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Pero… estoy un poco ocupado. ¿Podrías ayudarme a conseguir las piezas que necesito?","But… I'm a little busy. Could you help me get the pieces I need?"
"t_bbd505dca4a2","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Opcion de dialogo","Claro, dime que es lo que necesitas","Sure, tell me what you need"
"t_cf86cd9d239b","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Opcion de dialogo","¿Qué tipo de regalo es? Yo te ayudo encantada","What kind of gift is it? I'd be happy to help"
"t_84870e30e141","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Opcion de dialogo","Parece algo delicado… intentaré ayudarte","Sounds delicate… I'll try to help you"
"t_d427b033b42d","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Gracias. Estaba pensando en una manta que tenga cosidas unas cuantas Safiras","Thank you. I was thinking of a blanket with a few Safiras sewn into it"
"t_cf967e1f6d81","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Por si no lo sabes, las safiras son gemas de la protección para que el bebé esté protegido.","In case you didn't know, Safiras are stones of protection, so the baby stays protected."
"t_8de3a91b860a","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Primero necesito estas cosas:","First I need these things:"
"t_b8fdbfee84f7","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Hace un par de días se me cayó una bolsa con Safiras al pozo… un despiste. ¿Podrías recogerlas?","A couple of days ago I dropped a bag of Safiras down the well… careless of me. Could you fetch them?"
"t_be5cecc52095","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Y ya con lo de la tela, le mandé el encargo a Orren. ¿Podrías pasar y ver si ya la tiene?","And as for the cloth, I put the order in with Orren. Could you stop by and see if he has it ready?"
"t_e361a371931a","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Claro, sin problema Lin, yo te ayudo","Sure, no problem Lin, I'll help you"
"t_5c70bda6e20f","2daParte:Acto3/Casas/Casas2DespuesDeInvernadero/LinLIlithTrasInvernadero","Dialogo","Muchas gracias Lilith, te esperaré por esta zona","Thank you so much Lilith, I'll be waiting around here"
